year,date,count
2013,12-21,4866
2013,12-22,2030
2013,12-23,4584
2013,12-24,2032
2013,12-25,584
2013,12-26,575
2013,12-27,3006
2013,12-28,1523
2013,12-29,1633
2013,12-30,3719
2013,12-31,2727
2014,01-01,1644
2014,01-02,3054
2014,01-03,4240
2014,01-04,2814
2014,01-05,2635
2014,01-06,2820
2014,01-07,8331
2014,01-08,8291
2014,01-09,8646
2014,01-10,8383
2014,01-11,5530
2014,01-12,3653
2014,01-13,7202
2014,01-14,7452
2014,01-15,8459
2014,01-16,7116
2014,01-17,7778
2014,01-18,5879
2014,01-19,3326
2014,01-20,7004
2014,01-21,7486
2014,01-22,8088
2014,01-23,7394
2014,01-24,7040
2014,01-25,5506
2014,01-26,3232
2014,01-27,7362
2014,01-28,8190
2014,01-29,8289
2014,01-30,8233
2014,01-31,7884
2014,02-01,4992
2014,02-02,3190
2014,02-03,7579
2014,02-04,7734
2014,02-05,7523
2014,02-06,8565
2014,02-07,6978
2014,02-08,4760
2014,02-09,3103
2014,02-10,7063
2014,02-11,7959
2014,02-12,8468
2014,02-13,6232
2014,02-14,7711
2014,02-15,3742
2014,02-16,2815
2014,02-17,7783
2014,02-18,8164
2014,02-19,8069
2014,02-20,8012
2014,02-21,6428
2014,02-22,4988
2014,02-23,3720
2014,02-24,7975
2014,02-25,8322
2014,02-26,5709
2014,02-27,7430
2014,02-28,6274
2014,03-01,4784
2014,03-02,3032
2014,03-03,5096
2014,03-04,5848
2014,03-05,6890
2014,03-06,7375
2014,03-07,7646
2014,03-08,6263
2014,03-09,4465
2014,03-10,8347
2014,03-11,8870
2014,03-12,8947
2014,03-13,8842
2014,03-14,8658
2014,03-15,5309
2014,03-16,3990
2014,03-17,8789
2014,03-18,9181
2014,03-19,8620
2014,03-20,9535
2014,03-21,8529
2014,03-22,4226
2014,03-23,2803
2014,03-24,6198
2014,03-25,7822
2014,03-26,10079
2014,03-27,8673
2014,03-28,8576
2014,03-29,7325
2014,03-30,4513
2014,03-31,8731
2014,04-01,9986
2014,04-02,10142
2014,04-03,9686
2014,04-04,9246
2014,04-05,5800
2014,04-06,3309
2014,04-07,9927
2014,04-08,8587
2014,04-09,10405
2014,04-10,10345
2014,04-11,10177
2014,04-12,8237
2014,04-13,5211
2014,04-14,8647
2014,04-15,8995
2014,04-16,8721
2014,04-17,8574
2014,04-18,2299
2014,04-19,4144
2014,04-20,2501
2014,04-21,2089
2014,04-22,7807
2014,04-23,8181
2014,04-24,8944
2014,04-25,8153
2014,04-26,6311
2014,04-27,3564
2014,04-28,8016
2014,04-29,9750
2014,04-30,8214
2014,05-01,5429
2014,05-02,7064
2014,05-03,6105
2014,05-04,4752
2014,05-05,11517
2014,05-06,11475
2014,05-07,8840
2014,05-08,11118
2014,05-09,9382
2014,05-10,7233
2014,05-11,3444
2014,05-12,8732
2014,05-13,8716
2014,05-14,10347
2014,05-15,10510
2014,05-16,10527
2014,05-17,9732
2014,05-18,5761
2014,05-19,11259
2014,05-20,12592
2014,05-21,12494
2014,05-22,11486
2014,05-23,10190
2014,05-24,8701
2014,05-25,5784
2014,05-26,10162
2014,05-27,9220
2014,05-28,11530
2014,05-29,6025
2014,05-30,9122
2014,05-31,8065
2014,06-01,5457
2014,06-02,11244
2014,06-03,12125
2014,06-04,10014
2014,06-05,12057
2014,06-06,10823
2014,06-07,7323
2014,06-08,4121
2014,06-09,3966
2014,06-10,8043
2014,06-11,8365
2014,06-12,8406
2014,06-13,8868
2014,06-14,6838
2014,06-15,5780
2014,06-16,11992
2014,06-17,10026
2014,06-18,11386
2014,06-19,6263
2014,06-20,9715
2014,06-21,8854
2014,06-22,5507
2014,06-23,11484
2014,06-24,12295
2014,06-25,13056
2014,06-26,13939
2014,06-27,11880
2014,06-28,7126
2014,06-29,4212
2014,06-30,10528
2014,07-01,13616
2014,07-02,12406
2014,07-03,13451
2014,07-04,12201
2014,07-05,6945
2014,07-06,5687
2014,07-07,9734
2014,07-08,8513
2014,07-09,9360
2014,07-10,9986
2014,07-11,10152
2014,07-12,8192
2014,07-13,7592
2014,07-14,11818
2014,07-15,13053
2014,07-16,13060
2014,07-17,13251
2014,07-18,12095
2014,07-19,8454
2014,07-20,3944
2014,07-21,9197
2014,07-22,7991
2014,07-23,13871
2014,07-24,13785
2014,07-25,12110
2014,07-26,6199
2014,07-27,5657
2014,07-28,9720
2014,07-29,9027
2014,07-30,8850
2014,07-31,12123
2014,08-01,11046
2014,08-02,7769
2014,08-03,4993
2014,08-04,9997
2014,08-05,10690
2014,08-06,10176
2014,08-07,8804
2014,08-08,10012
2014,08-09,6867
2014,08-10,4174
2014,08-11,8271
2014,08-12,9299
2014,08-13,5982
2014,08-14,8362
2014,08-15,6540
2014,08-16,5813
2014,08-17,4259
2014,08-18,7411
2014,08-19,8650
2014,08-20,8586
2014,08-21,8571
2014,08-22,7796
2014,08-23,5204
2014,08-24,3643
2014,08-25,7136
2014,08-26,6112
2014,08-27,6747
2014,08-28,8241
2014,08-29,6494
2014,08-30,6344
2014,08-31,2413
2014,09-01,7308
2014,09-02,8081
2014,09-03,7886
2014,09-04,8359
2014,09-05,8148
2014,09-06,6786
2014,09-07,4382
2014,09-08,8825
2014,09-09,9358
2014,09-10,9354
2014,09-11,9031
2014,09-12,5618
2014,09-13,5975
2014,09-14,4480
2014,09-15,9759
2014,09-16,10462
2014,09-17,10700
2014,09-18,9681
2014,09-19,9891
2014,09-20,7956
2014,09-21,2811
2014,09-22,8670
2014,09-23,9814
2014,09-24,8833
2014,09-25,9026
2014,09-26,9697
2014,09-27,9533
2014,09-28,4844
2014,09-29,10029
2014,09-30,9714
2014,10-01,10849
2014,10-02,10952
2014,10-03,4998
2014,10-04,7934
2014,10-05,4111
2014,10-06,9889
2014,10-07,7884
2014,10-08,9512
2014,10-09,10054
2014,10-10,8581
2014,10-11,7119
2014,10-12,4570
2014,10-13,9240
2014,10-14,11487
2014,10-15,10541
2014,10-16,9895
2014,10-17,10112
2014,10-18,9184
2014,10-19,5915
2014,10-20,11034
2014,10-21,10052
2014,10-22,9924
2014,10-23,10774
2014,10-24,10443
2014,10-25,7616
2014,10-26,5144
2014,10-27,9435
2014,10-28,10141
2014,10-29,10647
2014,10-30,10211
2014,10-31,9999
2014,11-01,5593
2014,11-02,4828
2014,11-03,10394
2014,11-04,10676
2014,11-05,7020
2014,11-06,10405
2014,11-07,9207
2014,11-08,7947
2014,11-09,4882
2014,11-10,8341
2014,11-11,9649
2014,11-12,9337
2014,11-13,9762
2014,11-14,9535
2014,11-15,5377
2014,11-16,3269
2014,11-17,8249
2014,11-18,9720
2014,11-19,10568
2014,11-20,9886
2014,11-21,8827
2014,11-22,7219
2014,11-23,4321
2014,11-24,10332
2014,11-25,10287
2014,11-26,9868
2014,11-27,9848
2014,11-28,9261
2014,11-29,6463
2014,11-30,3676
2014,12-01,8700
2014,12-02,9038
2014,12-03,9025
2014,12-04,9536
2014,12-05,8531
2014,12-06,5322
2014,12-07,3517
2014,12-08,8740
2014,12-09,8492
2014,12-10,8605
2014,12-11,8762
2014,12-12,8547
2014,12-13,7027
2014,12-14,4105
2014,12-15,9233
2014,12-16,9693
2014,12-17,7682
2014,12-18,8541
2014,12-19,8505
2014,12-20,5911
2014,12-21,3284
2014,12-22,6783
2014,12-23,5511
